date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:45:05	260044/260044	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Feb%202022%2014:45:05%20GMT	https://ergo.creativezeune.com/	C:/My%20Web%20Sites/pi4/ergo.creativezeune.com/index.html	(from )
15:45:07	152/152	---M-Z	200	added ('OK')	text/plain	date:Wed,%2009%20Feb%202022%2014:45:08%20GMT	https://ergo.creativezeune.com/robots.txt		(from )
15:45:08	5842/5842	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Feb%202022%2014:45:08%20GMT	http://gmpg.org/xfn/11	C:/My%20Web%20Sites/pi4/gmpg.org/xfn/11.html	(from https://ergo.creativezeune.com/)
15:45:09	80574/80574	---M-Z	200	added ('OK')	text/css	date:Thu,%2018%20Nov%202021%2010:21:09%20GMT	https://ergo.creativezeune.com/wp-includes/css/dist/block-library/style.min.css?ver=5.8.2	C:/My%20Web%20Sites/pi4/ergo.creativezeune.com/wp-includes/css/dist/block-library/style.min080f.css	(from https://ergo.creativezeune.com/)
15:45:09	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2009%20Feb%202022%2014:45:08%20GMT	http://s.w.org/	C:/My%20Web%20Sites/pi4/s.w.org/index.html	(from https://ergo.creativezeune.com/)
15:45:09	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2009%20Feb%202022%2014:45:09%20GMT	http://stats.wp.com/	C:/My%20Web%20Sites/pi4/stats.wp.com/index.html	(from https://ergo.creativezeune.com/)
15:45:09	11256/11256	---M-Z	200	added ('OK')	text/css	date:Wed,%2009%20Dec%202020%2006:41:05%20GMT	https://ergo.creativezeune.com/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css?ver=4.2.16	C:/My%20Web%20Sites/pi4/ergo.creativezeune.com/wp-includes/js/mediaelement/mediaelementplayer-legacy.min08e1.css	(from https://ergo.creativezeune.com/)
15:45:10	4186/4186	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Nov%202019%2007:05:06%20GMT	https://ergo.creativezeune.com/wp-includes/js/mediaelement/wp-mediaelement.min.css?ver=5.8.2	C:/My%20Web%20Sites/pi4/ergo.creativezeune.com/wp-includes/js/mediaelement/wp-mediaelement.min080f.css	(from https://ergo.creativezeune.com/)
15:45:10	5305/5305	---M-Z	200	added ('OK')	text/css	date:Thu,%2018%20Nov%202021%2007:55:10%20GMT	https://ergo.creativezeune.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style.css?ver=6.1.0	C:/My%20Web%20Sites/pi4/ergo.creativezeune.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style42c6.css	(from https://ergo.creativezeune.com/)
15:45:10	53064/53064	---MCZ	200	added ('OK')	application/rss+xml	etag:%225f60fb6da6e72706e4f55f192446717c%22	https://ergo.creativezeune.com/feed/	C:/My%20Web%20Sites/pi4/ergo.creativezeune.com/feed/index.html	(from https://ergo.creativezeune.com/)
